N0,state,date,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,-9
22.1,alabama,d_19610101,76,57.9,15.4,5.2,1,2,0.8,0,0,0,0
38.4,arizona,d_19610101,61,38.8,15,5.3,0.4,0.7,0,0,0,0,0
77.2,arkansas,d_19610101,17,4.2,0.3,0,0,5.8,2.5,0,0,0,0
53.7,california,d_19610101,44.7,27.6,3.3,0,0,1.6,0.2,0,0,0,0
25.4,colorado,d_19610101,74.5,63.4,38.8,25.6,12.6,0.1,0,0,0,0,0
95.5,connecticut,d_19610101,0.1,0,0,0,0,4.4,0,0,0,0,0
36.8,delaware,d_19610101,0,0,0,0,0,63.2,14.9,0,0,0,0
92.2,district-of-columbia,d_19610101,0,0,0,0,0,7.8,0,0,0,0,0
29.9,florida,d_19610101,7.8,4.8,0.1,0,0,62.5,50.6,24.7,13.1,2.2,0
11.6,georgia,d_19610101,85.2,73.6,43,26.5,12.7,3.2,1.8,0,0,0,0
22.1,idaho,d_19610101,77.2,68.8,43.1,28.8,12.8,0.7,0,0,0,0,0
36,illinois,d_19610101,63.6,39.9,8.9,4.2,0,0.4,0,0,0,0,0
17.6,indiana,d_19610101,82.3,56.8,18.8,6.2,0.5,0,0,0,0,0,0
73.9,iowa,d_19610101,14.2,7,3,1.4,0,11.9,1.6,0,0,0,0
57.7,kansas,d_19610101,35.9,19.4,2.4,0.3,0,6.4,2,0,0,0,0
53.9,kentucky,d_19610101,43.2,23.9,2.6,0,0,2.8,0.7,0,0,0,0
41,louisiana,d_19610101,46.5,29.3,7,0.3,0,12.4,6.5,2,0.6,0,0
84.6,maine,d_19610101,14.9,6.6,1,0.3,0,0.5,0,0,0,0,0
47.5,maryland,d_19610101,5.7,1.5,0,0,0,46.7,26.3,1,0,0,0
71.2,massachusetts,d_19610101,10.9,1.3,0,0,0,17.9,2.3,0,0,0,0
25.6,michigan,d_19610101,52.1,44.2,29.8,20,9.9,22.3,15.8,9.5,4.2,0.1,0
45.6,minnesota,d_19610101,47,32.1,12.4,6.3,1.2,7.4,0.8,0,0,0,0
35.1,mississippi,d_19610101,64.8,36.9,4.8,0.3,0,0,0,0,0,0,0
19.2,missouri,d_19610101,77.2,53.9,16.5,3.3,0,3.6,1.4,0,0,0,0
6.3,montana,d_19610101,93.8,88.4,76.2,65.2,35.6,0,0,0,0,0,0
48.7,nebraska,d_19610101,43.6,33.2,13.5,5.1,0.1,7.7,2.9,0,0,0,0
34,nevada,d_19610101,57.1,45.8,25.9,11.9,1.2,8.8,1,0,0,0,0
54.6,new-hampshire,d_19610101,33.8,24.8,5.9,3.4,1.7,11.7,0.5,0,0,0,0
75.9,new-jersey,d_19610101,0,0,0,0,0,24.1,1.5,0,0,0,0
37.4,new-mexico,d_19610101,30,17.7,3.4,1.2,0,32.6,25.4,16.7,12.5,8.3,0
26.6,new-york,d_19610101,71.6,67.3,56,47.6,26.5,1.8,0,0,0,0,0
39.9,north-carolina,d_19610101,53.2,29.9,11.2,3.1,0.1,7,3.2,0,0,0,0
50.8,north-dakota,d_19610101,48.7,35.8,14.1,7.8,0.4,0.6,0,0,0,0,0
5.5,ohio,d_19610101,94.6,88.8,53.4,25.9,6.2,0,0,0,0,0,0
50.5,oklahoma,d_19610101,0.4,0,0,0,0,49.1,28.7,6.1,2.2,0.1,0
52.4,oregon,d_19610101,47.6,26.4,2.5,0.1,0,0,0,0,0,0,0
94.3,rhode-island,d_19610101,5.7,0,0,0,0,0,0,0,0,0,0
34.9,south-carolina,d_19610101,63.7,42.3,9.5,1.6,0,1.4,0.1,0,0,0,0
56.7,south-dakota,d_19610101,30.6,20.6,13.1,7.9,4.6,12.7,3.9,0.4,0,0,0
35.9,tennessee,d_19610101,63.9,35.8,7.7,1,0,0.2,0,0,0,0,0
27.9,texas,d_19610101,1.4,0,0,0,0,70.7,56.2,31.1,18.5,5.8,0
15.8,utah,d_19610101,83.5,70.9,44.7,30.8,13,0.8,0,0,0,0,0
23.5,vermont,d_19610101,75.1,66.1,25,8.5,0.3,1.5,0,0,0,0,0
30.3,virginia,d_19610101,52.3,39,10.6,2.4,0.1,17.4,9,3.4,1.6,0,0
61.5,washington,d_19610101,24,14.5,2.1,0,0,14.4,3.4,0,0,0,0
34,west-virginia,d_19610101,66,37.3,11,3.6,0.1,0,0,0,0,0,0
44.3,wisconsin,d_19610101,4.1,0.2,0,0,0,51.7,26.3,1.6,0.1,0,0
7.2,wyoming,d_19610101,92.7,83.1,53.3,30,14.5,0,0,0,0,0,0
57.3,alabama,d_19610201,6.4,2.1,0,0,0,36.3,18.1,4.7,2,0.5,0
22.5,arizona,d_19610201,77.5,57.7,25.2,13.4,2.3,0,0,0,0,0,0
64.4,arkansas,d_19610201,28.5,11.8,1.3,0,0,7.1,0,0,0,0,0
33,california,d_19610201,67,49,19.1,5.9,0.2,0.1,0,0,0,0,0
23.1,colorado,d_19610201,71.4,62.7,40,26.7,15.2,5.4,1.2,0,0,0,0
87,connecticut,d_19610201,0.6,0,0,0,0,12.4,0.5,0,0,0,0
6.4,delaware,d_19610201,0,0,0,0,0,93.6,57.4,2.7,0,0,0
100,district-of-columbia,d_19610201,0,0,0,0,0,0,0,0,0,0,0
19.2,florida,d_19610201,6.4,4.2,0,0,0,74.6,58.6,27.6,11.8,1.4,0
42.6,georgia,d_19610201,49.4,32.3,7.2,2.5,0.3,8.1,2.8,0.1,0,0,0
18.1,idaho,d_19610201,76.1,62.7,26.9,15.5,3.7,5.7,2.7,0,0,0,0
25,illinois,d_19610201,74.9,48.4,15.8,5,0.1,0.1,0,0,0,0,0
20.3,indiana,d_19610201,79.7,52.9,20.9,6.6,0.1,0,0,0,0,0,0
64.9,iowa,d_19610201,27.6,13.2,3.8,1.6,0.2,7.4,2.1,0.3,0,0,0
54.7,kansas,d_19610201,33.4,14.7,0.3,0,0,11.9,3.9,0.6,0,0,0
72.8,kentucky,d_19610201,17.2,4.9,0.3,0,0,10.1,2.2,0,0,0,0
57.9,louisiana,d_19610201,8.5,0.6,0,0,0,33.5,17.6,7.7,2.7,0.2,0
72.5,maine,d_19610201,27.5,10.5,1,0.1,0,0,0,0,0,0,0
44.2,maryland,d_19610201,13.4,3.1,0,0,0,42.4,34.6,10.3,1.8,0,0
70.8,massachusetts,d_19610201,10.9,1,0,0,0,18.4,1.7,0,0,0,0
27.5,michigan,d_19610201,64.7,55.4,32.4,22.5,9.6,7.8,0.4,0,0,0,0
38.6,minnesota,d_19610201,57.2,46.9,25.2,14.2,6,4.2,0.7,0,0,0,0
64.8,mississippi,d_19610201,12.9,3.1,0,0,0,22.4,10.2,3.3,0.2,0,0
13.9,missouri,d_19610201,81.2,64.2,25.3,7.7,0,4.9,2,0.1,0,0,0
8.5,montana,d_19610201,90.8,86.3,75.2,64.7,38.1,0.6,0.1,0,0,0,0
31.5,nebraska,d_19610201,67.2,53.3,28.7,19.8,8.2,1.3,0.1,0,0,0,0
41.1,nevada,d_19610201,57.7,41.7,15.6,4.6,0.1,1.3,0,0,0,0,0
55.6,new-hampshire,d_19610201,39.9,30,5.8,2.4,1.2,4.5,0.1,0,0,0,0
61.3,new-jersey,d_19610201,0,0,0,0,0,38.7,3,0,0,0,0
31.9,new-mexico,d_19610201,33.6,21.7,6.5,2.5,0.1,34.5,29,22.5,17.4,11,0
24.4,new-york,d_19610201,71,68.1,57.5,48.8,25.1,4.6,0.2,0,0,0,0
62.4,north-carolina,d_19610201,26.6,16.1,5.5,1.2,0,11,5.2,1.1,0,0,0
24,north-dakota,d_19610201,75.9,50.5,20,9.6,0.5,0,0,0,0,0,0
4.3,ohio,d_19610201,95.7,90.8,55.9,23.8,3.4,0,0,0,0,0,0
50,oklahoma,d_19610201,6.3,1,0,0,0,43.7,25,8,3.2,0.4,0
42.9,oregon,d_19610201,46.6,31.6,6.1,0.8,0,10.5,1.8,0,0,0,0
91.8,rhode-island,d_19610201,8.2,0,0,0,0,0,0,0,0,0,0
85.6,south-carolina,d_19610201,12.2,0.9,0,0,0,2.1,0.3,0,0,0,0
46.4,south-dakota,d_19610201,45.7,28.8,12.6,7.5,4,8,2.2,0.6,0.2,0,0
70.8,tennessee,d_19610201,23.3,6.3,0,0,0,6,0.4,0,0,0,0
15.2,texas,d_19610201,0.1,0,0,0,0,84.6,69.2,48.1,34.6,15.8,0
13.1,utah,d_19610201,86.7,76.9,45.7,27.6,10.8,0.2,0,0,0,0,0
22.4,vermont,d_19610201,76.6,67.5,19.4,4.8,0.6,1,0,0,0,0,0
31.2,virginia,d_19610201,48.5,32.8,9.7,2.3,0,20.3,10.4,3.3,0.3,0,0
39.4,washington,d_19610201,9.7,4.8,0.1,0,0,50.9,25.6,1.5,0,0,0
34.1,west-virginia,d_19610201,65.9,34.7,9.3,1.8,0,0,0,0,0,0,0
64.6,wisconsin,d_19610201,18,8,0,0,0,17.3,1.8,0,0,0,0
23,wyoming,d_19610201,75.9,62.9,28.8,17.3,6.3,1,0.1,0,0,0,0
26,alabama,d_19610301,1.3,0.2,0,0,0,72.6,54.8,20.9,12.4,4.3,0
30.8,arizona,d_19610301,68.9,51.4,18.1,7.2,0.6,0.3,0,0,0,0,0
66.6,arkansas,d_19610301,9.8,1.5,0,0,0,23.7,10.5,1.1,0,0,0
29.2,california,d_19610301,70.5,52.3,20.7,7.4,0.1,0.3,0,0,0,0,0
40.2,colorado,d_19610301,48,36.5,23.1,15.2,4,11.9,5.9,0,0,0,0
93.1,connecticut,d_19610301,0,0,0,0,0,6.9,0.1,0,0,0,0
0,delaware,d_19610301,0,0,0,0,0,100.1,98.1,30.2,6.9,0,0
67.9,district-of-columbia,d_19610301,0,0,0,0,0,32.1,0,0,0,0,0
30.4,florida,d_19610301,4.4,2.4,0,0,0,65.3,50.6,18.9,9.9,2.1,0
54.5,georgia,d_19610301,37.8,22.5,7.1,1.5,0,7.7,1.6,0.1,0,0,0
33.9,idaho,d_19610301,53.8,34.9,17.7,12.6,4.3,12.3,5.5,0.2,0,0,0
17.3,illinois,d_19610301,82.6,65.5,25.4,12.4,0.3,0,0,0,0,0,0
10.8,indiana,d_19610301,89.3,63.1,15.7,1.6,0,0,0,0,0,0,0
54.5,iowa,d_19610301,8.2,3.4,0,0,0,37.3,14.5,0,0,0,0
50.4,kansas,d_19610301,27,19.3,3.2,0.5,0,22.6,13.9,3.4,1.3,0.1,0
47.8,kentucky,d_19610301,52.1,17.6,0.1,0,0,0.1,0,0,0,0,0
22.1,louisiana,d_19610301,0.2,0,0,0,0,77.7,57.5,25.2,13.4,1.4,0
62.5,maine,d_19610301,37.5,13.1,2.9,0.8,0,0,0,0,0,0,0
32.9,maryland,d_19610301,4.7,0.7,0,0,0,62.4,41,26,14.2,1.5,0
85.8,massachusetts,d_19610301,4.9,0,0,0,0,9.2,0,0,0,0,0
27.9,michigan,d_19610301,67.8,58,36,20.3,8.5,4.5,0.1,0,0,0,0
33.7,minnesota,d_19610301,61,44.8,21.2,12.2,4.5,5.4,0.4,0,0,0,0
30.8,mississippi,d_19610301,0,0,0,0,0,69.2,51.4,29.7,21.3,9.6,0
49.2,missouri,d_19610301,45.7,21.6,3.4,0.5,0,5.1,2,0,0,0,0
11.8,montana,d_19610301,85.9,81.1,67.7,53.1,29.1,2.2,0.3,0,0,0,0
30,nebraska,d_19610301,68.4,52.1,21.7,9.3,1.2,1.6,0.2,0,0,0,0
55.2,nevada,d_19610301,42,21.8,5.7,1.6,0,2.8,1.2,0,0,0,0
44.7,new-hampshire,d_19610301,53.7,40.5,18.7,6.8,2.2,1.5,0,0,0,0,0
4.5,new-jersey,d_19610301,0,0,0,0,0,95.5,77.5,5.8,0,0,0
36.6,new-mexico,d_19610301,30.3,16.9,4.3,0.2,0,33.1,28.5,21,15.4,9.6,0
17.6,new-york,d_19610301,77,72.1,65.5,55.8,40.3,5.6,2.5,0.1,0,0,0
62.7,north-carolina,d_19610301,19.7,7.5,1.9,0.6,0,17.6,9.1,2.1,0.7,0,0
18.2,north-dakota,d_19610301,81.7,63.9,22.9,8.8,1.5,0,0,0,0,0,0
4.5,ohio,d_19610301,95.5,72.9,29.2,6.5,0.1,0,0,0,0,0,0
27.8,oklahoma,d_19610301,0.1,0,0,0,0,72.1,50,18.4,8.7,2.5,0
47.7,oregon,d_19610301,16.2,6.3,0.2,0,0,36.2,22.1,1,0,0,0
100,rhode-island,d_19610301,0,0,0,0,0,0,0,0,0,0,0
85.1,south-carolina,d_19610301,7.8,0.1,0,0,0,7,0.5,0,0,0,0
35,south-dakota,d_19610301,63.1,46,21.2,12.3,6.1,1.8,0,0,0,0,0
75.9,tennessee,d_19610301,17.6,4.6,0,0,0,6.4,0.1,0,0,0,0
8.5,texas,d_19610301,0,0,0,0,0,91.4,78.5,46.8,29,10.8,0
29.9,utah,d_19610301,68.2,46.8,18.2,8,1,1.9,0.7,0,0,0,0
11.1,vermont,d_19610301,88.9,77.4,47.3,15.9,2.4,0.1,0,0,0,0,0
44.2,virginia,d_19610301,32.2,16.8,3.3,0.1,0,23.7,16.3,6.2,3.8,0.7,0
22.1,washington,d_19610301,0,0,0,0,0,78,56.5,12.7,2.3,0,0
63.4,west-virginia,d_19610301,34.8,17.1,3.9,0.5,0,1.9,0.2,0,0,0,0
51.3,wisconsin,d_19610301,8.2,2.9,0,0,0,40.5,15.3,1.5,0,0,0
29.1,wyoming,d_19610301,69.3,52.9,21.9,12.2,5,1.6,0.3,0,0,0,0
17.8,alabama,d_19610401,0,0,0,0,0,82.2,62.6,27.3,10.4,3,0
37.8,arizona,d_19610401,58.7,42.4,13.1,3.4,0.2,3.4,0.1,0,0,0,0
60.2,arkansas,d_19610401,23.7,13.8,7.7,3.4,0.6,16.2,8.3,0.8,0,0,0
26.3,california,d_19610401,73.6,58.6,24.1,11.4,2.3,0.1,0,0,0,0,0
51.2,colorado,d_19610401,46.1,25.8,10.6,5.2,0.4,2.6,0.3,0,0,0,0
98.7,connecticut,d_19610401,0.7,0,0,0,0,0.5,0,0,0,0,0
0,delaware,d_19610401,0,0,0,0,0,100,57.7,0.2,0,0,0
68.4,district-of-columbia,d_19610401,0,0,0,0,0,31.6,16.7,0,0,0,0
63.2,florida,d_19610401,1.2,0,0,0,0,35.6,17.2,1.8,0,0,0
74.9,georgia,d_19610401,5.8,0.4,0,0,0,19.3,5.3,0.3,0,0,0
19.9,idaho,d_19610401,63.5,49.5,16.7,10.6,3.2,16.6,10,2.4,0,0,0
16.8,illinois,d_19610401,82.9,65.4,24.7,8.9,0.8,0.3,0,0,0,0,0
44.4,indiana,d_19610401,55.5,32.1,3.5,0,0,0.1,0,0,0,0,0
51.9,iowa,d_19610401,8.2,4.1,0.6,0.3,0,39.8,22.9,3.2,0.2,0,0
52.5,kansas,d_19610401,21.3,15.2,2.1,0,0,26.4,13.8,4.1,1.3,0,0
81.8,kentucky,d_19610401,12.2,0.4,0,0,0,6,1.2,0,0,0,0
18.8,louisiana,d_19610401,0,0,0,0,0,81.2,53.5,18.7,5.9,0,0
82.2,maine,d_19610401,15.2,4.7,0.3,0,0,2.6,0,0,0,0,0
37.1,maryland,d_19610401,0,0,0,0,0,62.9,33.8,5.6,0.7,0,0
94.8,massachusetts,d_19610401,4.6,0,0,0,0,0.6,0,0,0,0,0
27.2,michigan,d_19610401,72.1,60.6,21,9.4,2.7,0.7,0,0,0,0,0
58.8,minnesota,d_19610401,36.1,19.3,5,1.6,0,5,0.7,0,0,0,0
26.6,mississippi,d_19610401,0,0,0,0,0,73.4,52.4,26.5,13.5,6.7,0
40.5,missouri,d_19610401,49.5,24.7,4.3,0.6,0,10.1,5.1,0.8,0,0,0
18.4,montana,d_19610401,73.8,59.7,33.2,19.2,8.1,7.7,4.1,0.5,0,0,0
34.2,nebraska,d_19610401,63.9,50,19,6.4,0.4,1.8,0.4,0,0,0,0
40.2,nevada,d_19610401,59.7,44.9,16.7,7.6,2.1,0.1,0,0,0,0,0
52.7,new-hampshire,d_19610401,46.1,33.2,2.6,0.2,0,1.3,0,0,0,0,0
18.7,new-jersey,d_19610401,0,0,0,0,0,81.3,31.7,0,0,0,0
50.2,new-mexico,d_19610401,28.4,15.4,0.6,0,0,21.4,14.7,5.3,1.6,0,0
29.5,new-york,d_19610401,67,53.9,32.4,19.4,6.9,3.4,1.1,0,0,0,0
84.6,north-carolina,d_19610401,8.9,2.5,0.9,0.3,0,6.7,1.4,0,0,0,0
65.9,north-dakota,d_19610401,33,13.1,1.2,0.3,0,1.2,0.2,0,0,0,0
48.4,ohio,d_19610401,51.7,24.5,2.7,0,0,0,0,0,0,0,0
44.8,oklahoma,d_19610401,30.3,20.5,4.4,0.3,0,24.9,12.8,2.4,0.6,0,0
37.5,oregon,d_19610401,28.3,16.1,3.1,0.1,0,34.2,21.2,1.7,0,0,0
100,rhode-island,d_19610401,0,0,0,0,0,0,0,0,0,0,0
91.7,south-carolina,d_19610401,0,0,0,0,0,8.3,0.3,0,0,0,0
41.7,south-dakota,d_19610401,53.4,31.2,12.4,6.7,1.7,4.9,0.6,0,0,0,0
76,tennessee,d_19610401,11.1,1.2,0,0,0,13,0.7,0,0,0,0
35.8,texas,d_19610401,3.5,0.5,0,0,0,60.7,46.5,20.6,8.8,1.1,0
36.4,utah,d_19610401,55.1,42.3,20.7,10.2,2.9,8.5,2.4,0.1,0,0,0
12.7,vermont,d_19610401,87.3,60,14,2.9,0.1,0,0,0,0,0,0
66.6,virginia,d_19610401,12.6,3.4,0.1,0,0,20.7,10.7,1.6,0,0,0
15.1,washington,d_19610401,0,0,0,0,0,85,69.6,23.5,3.7,0,0
70.6,west-virginia,d_19610401,19.6,6.9,0.5,0,0,9.7,0.9,0,0,0,0
56.4,wisconsin,d_19610401,4.4,1.9,0,0,0,39.3,12.7,0,0,0,0
19.3,wyoming,d_19610401,79,58.8,24.9,14.6,6.3,1.7,0.1,0,0,0,0
36.1,alabama,d_19610501,0,0,0,0,0,63.8,37.9,4.2,1.1,0,0
38.9,arizona,d_19610501,50,32.3,11.8,3.8,0,11.1,2.1,0,0,0,0
71.2,arkansas,d_19610501,1.8,0.4,0,0,0,27,8.6,0.1,0,0,0
28.5,california,d_19610501,70.4,57,23.3,12.3,4.3,1.2,0,0,0,0,0
52.3,colorado,d_19610501,20.2,11.5,1.6,0.5,0.2,27.5,11,1.6,0,0,0
67.2,connecticut,d_19610501,0,0,0,0,0,32.9,3.4,0,0,0,0
0,delaware,d_19610501,0,0,0,0,0,99.9,92.7,40.7,3.1,0,0
83.3,district-of-columbia,d_19610501,0,0,0,0,0,16.7,0,0,0,0,0
55.1,florida,d_19610501,1.4,0,0,0,0,43.4,28.7,4.2,0.3,0,0
71.3,georgia,d_19610501,2.6,0.2,0,0,0,26.1,5.5,0,0,0,0
16.1,idaho,d_19610501,68.3,60.1,34.3,15.5,3.5,15.6,8,3.6,0.3,0,0
31.1,illinois,d_19610501,57,41.2,26.2,21,10.4,11.8,3.8,0,0,0,0
52.4,indiana,d_19610501,43.3,30.7,4.4,1,0,4.3,0.2,0,0,0,0
64.6,iowa,d_19610501,33.7,13.5,2.5,0.8,0,1.7,0.2,0,0,0,0
47.9,kansas,d_19610501,2.7,0.1,0,0,0,49.5,27.8,6.4,1.6,0,0
74.6,kentucky,d_19610501,4,0.3,0,0,0,21.4,9.6,0,0,0,0
60.8,louisiana,d_19610501,2.2,0.7,0,0,0,37,14.3,0.8,0,0,0
44.6,maine,d_19610501,2.2,1.1,0,0,0,53.2,27.7,6.5,1.5,0,0
48.4,maryland,d_19610501,3.1,0,0,0,0,48.5,35,22.4,14.8,4.9,0
87.5,massachusetts,d_19610501,0,0,0,0,0,12.6,0.6,0.5,0,0,0
18.3,michigan,d_19610501,81.5,76,45.2,25.1,7.5,0.1,0,0,0,0,0
36.8,minnesota,d_19610501,60.8,46,18.5,6.5,0,2.4,0.2,0,0,0,0
62.1,mississippi,d_19610501,3.1,0,0,0,0,34.8,19.5,6.9,1.1,0,0
72.9,missouri,d_19610501,6.2,1.4,0,0,0,20.9,3.9,0,0,0,0
11,montana,d_19610501,81.4,73.8,47.4,28.8,10.5,7.8,4.2,1.1,0.4,0,0
48.7,nebraska,d_19610501,32.2,23.2,2.7,0,0,19,6.1,1.7,0,0,0
43.7,nevada,d_19610501,55.3,37.9,16.1,9.2,1.5,1,0,0,0,0,0
71,new-hampshire,d_19610501,26.3,2.2,0,0,0,2.6,0,0,0,0,0
34,new-jersey,d_19610501,0,0,0,0,0,66,44,0.9,0,0,0
65.8,new-mexico,d_19610501,13.3,2.4,0,0,0,21,10.2,0.4,0,0,0
38.3,new-york,d_19610501,57.1,42.2,15.1,6.1,0.7,4.7,1.4,0,0,0,0
75,north-carolina,d_19610501,7.6,0.1,0,0,0,17.5,7.8,0,0,0,0
0.3,north-dakota,d_19610501,99.8,97.3,54,21,3.8,0,0,0,0,0,0
37.4,ohio,d_19610501,62.4,41.9,15.7,4.7,0.4,0.2,0,0,0,0,0
56.6,oklahoma,d_19610501,28,13.1,0.1,0,0,15.4,7.3,2.6,0.4,0,0
36.2,oregon,d_19610501,29.7,16.4,2.8,0,0,34.2,23.4,1.7,0,0,0
39.3,rhode-island,d_19610501,0,0,0,0,0,60.6,10.7,0,0,0,0
58.6,south-carolina,d_19610501,0,0,0,0,0,41.4,8.1,0,0,0,0
42.5,south-dakota,d_19610501,57.5,42.3,17.9,11.6,3.7,0,0,0,0,0,0
83.7,tennessee,d_19610501,8.7,0,0,0,0,7.7,0.5,0,0,0,0
54.2,texas,d_19610501,6,0.9,0,0,0,39.7,22.6,3.2,1,0.3,0
33.3,utah,d_19610501,44.8,33.5,21.2,13.7,3.7,21.9,8.7,0.7,0,0,0
65.7,vermont,d_19610501,34.3,10.3,1.3,0,0,0,0,0,0,0,0
61.9,virginia,d_19610501,14.3,3.4,0,0,0,23.7,14.7,3,1.4,0.3,0
13.9,washington,d_19610501,0,0,0,0,0,86.1,70.1,22.8,3.7,0,0
71,west-virginia,d_19610501,24.5,11.1,0.4,0,0,4.6,0,0,0,0,0
57.7,wisconsin,d_19610501,37.8,12.1,3,1.6,0,4.5,1.9,0,0,0,0
18.4,wyoming,d_19610501,73.9,59.7,32.2,21.6,5.6,7.6,3.2,0.7,0,0,0
34.6,alabama,d_19610601,0.1,0,0,0,0,65.3,42.8,12,2.5,0.9,0
28.7,arizona,d_19610601,61,42.4,17.5,5.6,0.2,10.5,2.9,0,0,0,0
76.8,arkansas,d_19610601,3.2,0,0,0,0,20,5.8,0,0,0,0
24,california,d_19610601,74.3,58.3,25.4,14.2,6.2,1.7,0,0,0,0,0
45.8,colorado,d_19610601,19.3,11.2,3.2,0.3,0,34.8,19.6,4.3,0.5,0,0
81.8,connecticut,d_19610601,18.3,0.9,0,0,0,0,0,0,0,0,0
47.7,delaware,d_19610601,0,0,0,0,0,52.2,20.4,0,0,0,0
100,district-of-columbia,d_19610601,0,0,0,0,0,0,0,0,0,0,0
48.7,florida,d_19610601,48.3,25.4,9,3.3,0,3,1.7,0.1,0,0,0
78.1,georgia,d_19610601,3.3,0.6,0,0,0,18.6,4.3,0.1,0,0,0
15.6,idaho,d_19610601,69.6,62.5,34.3,15.9,2.9,14.9,7.2,3.3,0.3,0,0
27.2,illinois,d_19610601,52,40.3,27.6,21.5,6.8,20.8,12.2,2,0,0,0
50.9,indiana,d_19610601,32.6,22.1,1.6,0.3,0,16.5,5.8,0,0,0,0
40.4,iowa,d_19610601,59.5,33.5,10.3,4.3,0,0,0,0,0,0,0
42.1,kansas,d_19610601,3,0.2,0,0,0,55,37.2,6.1,1.2,0,0
63.3,kentucky,d_19610601,1.7,0.1,0,0,0,35,10.7,1.1,0,0,0
20.6,louisiana,d_19610601,0,0,0,0,0,79.3,51.4,11,0.4,0,0
30.1,maine,d_19610601,12.6,2.7,0.1,0,0,57.3,37.2,12.2,3.5,0,0
69.8,maryland,d_19610601,0.6,0,0,0,0,29.5,20.8,4.3,0,0,0
61.6,massachusetts,d_19610601,37.9,11,0.2,0,0,0.6,0.6,0.4,0,0,0
22.2,michigan,d_19610601,77.9,57,25.4,11,4.7,0,0,0,0,0,0
11.6,minnesota,d_19610601,88.5,76.1,50,28.4,7.8,0,0,0,0,0,0
48,mississippi,d_19610601,0,0,0,0,0,51.9,36.3,19,10.5,1.2,0
60.8,missouri,d_19610601,3.8,1.4,0.1,0,0,35.5,10.8,0.5,0,0,0
10.7,montana,d_19610601,83.8,77.7,60.4,43.4,20,5.5,4,1,0.1,0,0
51.2,nebraska,d_19610601,38.1,25.4,6.5,1.7,0,10.7,5.6,1.3,0.4,0,0
44.3,nevada,d_19610601,54.9,37,16.6,7.3,1,0.9,0,0,0,0,0
18.3,new-hampshire,d_19610601,81.8,56.4,2.4,0,0,0,0,0,0,0,0
76.6,new-jersey,d_19610601,22.1,5.2,0,0,0,1.3,0,0,0,0,0
66.4,new-mexico,d_19610601,0.8,0,0,0,0,32.8,11.6,0,0,0,0
56.4,new-york,d_19610601,40.9,26.1,4.5,0.2,0,2.8,0.1,0,0,0,0
68.6,north-carolina,d_19610601,1.5,0.1,0,0,0,29.9,12,2.5,0.6,0,0
0,north-dakota,d_19610601,100.1,98.7,78.4,58.2,28.7,0,0,0,0,0,0
67.4,ohio,d_19610601,25.5,7.1,0.1,0,0,7.1,0.7,0,0,0,0
61.4,oklahoma,d_19610601,14.3,2.2,0,0,0,24.2,8.3,0,0,0,0
35.3,oregon,d_19610601,29.2,18.5,4.4,0.3,0,35.6,26.3,2.8,0,0,0
93.6,rhode-island,d_19610601,6.4,0,0,0,0,0,0,0,0,0,0
55.7,south-carolina,d_19610601,0,0,0,0,0,44.4,18.5,0.3,0,0,0
33.4,south-dakota,d_19610601,66.4,53.1,28.7,18.9,10.3,0.2,0,0,0,0,0
93.7,tennessee,d_19610601,3.1,0,0,0,0,3.2,0,0,0,0,0
18.5,texas,d_19610601,0.3,0,0,0,0,81.3,60,18.7,3.6,0.2,0
33.9,utah,d_19610601,53.3,41.8,27.8,19.1,6.5,12.9,4.3,0.8,0,0,0
31.6,vermont,d_19610601,68.4,44.7,1.4,0,0,0,0,0,0,0,0
62.3,virginia,d_19610601,13.8,2.8,0,0,0,23.9,10.9,1.2,0,0,0
13.1,washington,d_19610601,0,0,0,0,0,86.8,70.8,20.7,4.4,0.5,0
85,west-virginia,d_19610601,13.3,2.3,0,0,0,1.6,0,0,0,0,0
21.8,wisconsin,d_19610601,78.3,52.3,14.5,2.9,0,0,0,0,0,0,0
15.6,wyoming,d_19610601,77,64.7,36.3,21.3,8.3,7.4,5.3,0.9,0,0,0
35.9,alabama,d_19610701,1.8,0.2,0,0,0,62.4,37.3,7.4,1.3,0.1,0
19.2,arizona,d_19610701,80.6,69.1,36.1,18.4,1.5,0.1,0,0,0,0,0
45,arkansas,d_19610701,2.4,0,0,0,0,52.6,23.5,3,0,0,0
22.7,california,d_19610701,74.3,54.8,24.1,15.5,8.3,2.9,0.3,0,0,0,0
49.6,colorado,d_19610701,27.9,15,4.2,1.3,0.1,22.4,11.1,2.7,1.3,0.2,0
73,connecticut,d_19610701,27.1,1.8,0,0,0,0,0,0,0,0,0
73.8,delaware,d_19610701,0,0,0,0,0,26.1,0.5,0,0,0,0
100,district-of-columbia,d_19610701,0,0,0,0,0,0,0,0,0,0,0
29.2,florida,d_19610701,68.8,47.9,25.2,12.1,3.1,1.9,1.1,0,0,0,0
74.6,georgia,d_19610701,6.1,1.8,0,0,0,19.3,4.2,0,0,0,0
18.1,idaho,d_19610701,68.3,59.9,26.8,10.3,0.8,13.7,5.9,3.4,1.2,0,0
34,illinois,d_19610701,36.1,28.8,15.1,2.8,0,29.9,21.3,6.3,0.3,0,0
58.3,indiana,d_19610701,6.5,0.7,0,0,0,35.3,13.6,0.5,0,0,0
