,Feature,Importance
115,average_temp_11 state_SOUTH DAKOTA,0.0013691141641854097
116,year_1972 year_1977,0.0013661959134284452
117,year_1972 year_1976,0.0013641850357510247
118,year_1976 year_1980,0.0013570582663874043
119,year_2004 year_2009,0.0013342046627961577
120,average_temp_4 average_temp_9,0.0013310086303235892
121,D1_8 year_1975,0.0013088533858032058
122,D0_9 year_1973,0.0012799657796774202
123,W0_10 year_1975,0.0012662169191221117
124,state_CALIFORNIA year_2018,0.0012524159229986116
125,year_1973 year_1977,0.0012445493554426993
126,state_ARIZONA year_2020,0.0012403681592606055
127,average_temp_9 state_NORTH DAKOTA,0.0012381317329249308
128,D2_7 year_1974,0.0012373532853517009
129,state_FLORIDA state_SOUTH CAROLINA,0.0012298802487042129
130,year_2009 year_2015,0.001227316596779463
131,year_1970 year_1980,0.0012199778522767064
132,year_2013 year_2017,0.001209825794802692
133,state_SOUTH DAKOTA year_1976,0.0012046097877704066
134,year_1976 year_1978,0.001197234326216597
135,state_ARIZONA state_IDAHO,0.0011786610978991331
136,year_1976 year_1983,0.001173125357680203
137,year_2009 year_2013,0.001165998220877794
138,year_1973 year_1978,0.0011307847452228215
139,year_1972 year_1974,0.0011303818703460571
140,D1_8 year_1973,0.0011076995929648176
141,average_temp_4 state_FLORIDA,0.0011072585010769428
142,D1_7 year_1975,0.0010890938812638954
143,average_temp_10 state_SOUTH DAKOTA,0.0010782603398452764
144,state_CALIFORNIA year_2017,0.001073738173494589
145,year_1973 year_1976,0.0010714387115439905
146,average_temp_8 state_SOUTH DAKOTA,0.0010524043992047982
147,average_temp_9 state_OKLAHOMA,0.0010437047125253362
148,average_temp_7 state_NORTH DAKOTA,0.0010435310558681611
149,year_1972 year_1975,0.0010399639659521773
150,state_CALIFORNIA state_WASHINGTON,0.0010395530170521769
151,year_1971 year_1983,0.0010328271971001795
152,average_temp_9 state_NORTH CAROLINA,0.0010062266700138778
153,state_ARIZONA year_2013,0.0009984927117897015
154,state_ARIZONA year_2016,0.0009870514707282783
155,year_2009 year_2019,0.0009474798632094198
156,average_temp_4 average_temp_11,0.0009365040420553411
157,state_SOUTH DAKOTA year_1971,0.0009360401586153602
158,average_temp_9 year_1996,0.0009215766657267723
159,state_OREGON year_2018,0.000920149863090599
160,average_temp_11 state_WASHINGTON,0.0009128481993348194
161,average_temp_6 state_NEW MEXICO,0.0009092316087622064
162,average_temp_11 state_NORTH DAKOTA,0.0009088832662068721
163,state_IDAHO state_OREGON,0.000904446619098654
164,year_2009 year_2014,0.0009009581535785959
165,state_ARIZONA year_2015,0.0008869135032676654
166,year_2009 year_2016,0.000874961725436845
167,average_temp_7 average_temp_10,0.0008691847907739893
168,W4_8 state_IDAHO,0.0008623809663663965
169,year_2004 year_2015,0.0008142033573548316
170,average_temp_10 state_IDAHO,0.0008105579688953462
171,state_IDAHO state_NEW MEXICO,0.0007841058139243578
172,year_1971 year_1978,0.0007832750777335833
173,average_temp_11 state_IDAHO,0.0007824308436983033
174,average_temp_9 year_1977,0.0007766596177949954
175,state_FLORIDA year_1971,0.000762455048158067
176,year_1970 year_1972,0.0007615851450067066
177,average_temp_9 year_1983,0.0007612822482589423
178,year_1978 year_1980,0.0007575701373788768
179,year_1980 year_1983,0.0007539658202138578
180,state_SOUTH DAKOTA year_1974,0.0007436443624871614
181,state_FLORIDA year_1972,0.0007329588138690165
182,average_temp_11 state_NORTH CAROLINA,0.0007309932891639168
183,state_ALABAMA year_1974,0.000729212835363623
184,state_ARIZONA year_2019,0.0007192135484069719
185,W1_8 year_1973,0.0007066616758102225
186,state_SOUTH CAROLINA year_1974,0.0006984815202678251
187,year_1978 year_1979,0.0006944762072781367
188,year_2004 year_2016,0.0006926371586330809
189,year_2004 year_2019,0.0006867714340152173
190,year_1975 year_1977,0.0006799852081914799
191,state_NEW MEXICO year_2009,0.0006784902219579726
192,year_2009 year_2020,0.0006759513544436039
193,average_temp_5 average_temp_9,0.0006636592899598983
194,D2_7 year_1978,0.0006616445774887292
195,year_1972 year_1993,0.0006570607536308819
196,state_FLORIDA year_1980,0.0006519022333134439
197,D0_5 W4_8,0.0006496022927255068
198,average_temp_11 state_OREGON,0.0006412781318053851
199,average_temp_9 state_FLORIDA,0.0006301110949878466
200,W1_10 year_1973,0.0006290302897432942
201,D0_10 year_1973,0.0006080492160206978
202,D0_7 year_1973,0.000605886832502266
203,state_SOUTH CAROLINA year_1970,0.0006006385120103484
204,year_1972 year_1980,0.00059978175908754
205,state_ALABAMA year_1970,0.0005973755369374226
206,year_2012 year_2018,0.0005829838720469158
207,state_NEW MEXICO state_UTAH,0.000580966963058058
208,year_1972 year_1979,0.000570690405836213
209,state_FLORIDA year_1976,0.0005669992824245207
210,year_2010 year_2013,0.000563280391378666
211,state_NEW MEXICO year_2013,0.0005533007373499521
212,state_IDAHO year_2020,0.000553138515493782
213,year_1977 year_1978,0.0005473726389155811
214,state_CALIFORNIA state_UTAH,0.0005447910456061899
215,year_2004 year_2010,0.0005418466167558101
216,year_1978 year_1993,0.0005398448613609722
217,W0_8 year_1974,0.0005317306858926196
218,D1_8 year_1983,0.000529187926357058
219,average_temp_10 state_NORTH DAKOTA,0.0005280412628372637
220,year_1974 year_1976,0.0005277054771569525
221,year_2004 year_2007,0.000525756404129438
222,N0_9 year_1970,0.0005176232001945261
223,year_2007 year_2010,0.0005145030346454944
224,average_temp_5 year_2011,0.0005095023269881848
225,D2_7 year_1970,0.0005057526662148116
226,average_temp_11 state_FLORIDA,0.0004976087007500061
227,average_temp_4 year_1971,0.0004958979160060243
228,W3_10 year_2014,0.0004933590126320584
229,W4_4 year_2014,0.0004886836436958041
230,average_temp_9 year_1989,0.00048811392454369397
231,average_temp_6 state_ARIZONA,0.00048758627331812007
